CUSTOMERNAME,CUSTOMER_ID,CONTACTFIRSTNAME,CONTACTLASTNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY
Land of Toys Inc.,1001,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Reims Collectables,1002,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
Lyon Souveniers,1003,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,1004,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Technics Stores Inc.,1005,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
Daedalus Designs Imports,1006,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
Herkku Gifts,1007,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Auto Canal Petit,1008,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
"Australian Collectors, Co.",1009,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Vitachrome Inc.,1010,Michael,Frick,2125551500,2678 Kingston Rd.,NYC,10022,USA
Tekni Collectables Inc.,1011,William,Brown,2015559350,7476 Moss Rd.,Newark,94019,USA
Gift Depot Inc.,1012,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
La Rochelle Gifts,1013,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Marta's Replicas Co.,1014,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
"Toys of Finland, Co.",1015,Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
Baane Mini Imports,1016,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
Diecast Classics Inc.,1017,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Land of Toys Inc.,1018,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Salzburg Collectables,1019,Georg,Pipps,6562-9555,Geislweg 14,Salzburg,5020,Austria
Souveniers And Things Co.,1020,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
La Rochelle Gifts,1021,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
FunGiftIdeas.com,1022,Violeta,Benitez,5085552555,1785 First Street,New Bedford,50553,USA
"UK Collectables, Ltd.",1023,Elizabeth,Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK
Euro Shopping Channel,1024,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Baane Mini Imports,1025,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
"Volvo Model Replicas, Co",1026,Christina,Berglund,0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
"Corrida Auto Replicas, Ltd",1027,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
Technics Stores Inc.,1028,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
"Dragon Souveniers, Ltd.",1029,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
